gene	chemical	count
alpha-synuclein	coenzyme q10	1
alpha-synuclein	coenzyme Q10	1
alpha-synuclein	Congo red	1
alpha-synuclein	copper(II)	1
alpha-synuclein	Copper(II)	1
alpha-synuclein	creatinine	1
alpha-synuclein	CTIQs	1
alpha-synuclein	D-linoleic	1
alpha-synuclein	DDC	1
alpha-synuclein	deferiprone	1
alpha-synuclein	Deferiprone	1
alpha-synuclein	Delta-T3	1
alpha-synuclein	deuterated PUFAs	1
alpha-synuclein	deuteriums	1
alpha-synuclein	dextrose	1
alpha-synuclein	DHM	1
alpha-synuclein	diacylglycerol	1
alpha-synuclein	dicyclohexylcarbodi-imide	1
alpha-synuclein	digitonin	1
alpha-synuclein	diglycerides	1
alpha-synuclein	digoxygenin	1
alpha-synuclein	Dihydromyricetin	1
alpha-synuclein	dihydroquinazoline	1
alpha-synuclein	Dihydroquinazolines	1
alpha-synuclein	dimethylglyoxime	1
alpha-synuclein	DLPS	1
alpha-synuclein	DMGO	1
alpha-synuclein	dopa	1
alpha-synuclein	DOPC	1
alpha-synuclein	DOPS	1
alpha-synuclein	Doxorubicin	1
alpha-synuclein	Ellagic acid	1
alpha-synuclein	entacapone	1
alpha-synuclein	ethyl 2-((4-amino-5-(pyridin-4-yl)-4H-1,2,4-triazol-3-yl)thio)acetate	1
alpha-synuclein	etoposide	1
alpha-synuclein	F-DOPA	1
alpha-synuclein	FAD	1
alpha-synuclein	fatty acids	1
alpha-synuclein	FD	1
alpha-synuclein	FDG	1
alpha-synuclein	Fe(II)	1
alpha-synuclein	Fe3+	1
alpha-synuclein	ferrous iron	1
alpha-synuclein	flavin mononucleotide	1
alpha-synuclein	flavins	1
alpha-synuclein	Flavonoid	1
alpha-synuclein	flavonoids	1
alpha-synuclein	Formalin	1
alpha-synuclein	free radicals	1
alpha-synuclein	Gamma-T3	1
alpha-synuclein	GlcSph	1
alpha-synuclein	glucosylsphingosine	1
alpha-synuclein	glutamine	1
alpha-synuclein	glutathione	1
alpha-synuclein	glyburide	1
alpha-synuclein	glycerophosphoethanolamines	1
alpha-synuclein	glycerophospholipids	1
alpha-synuclein	glycosaminoglycans	1
alpha-synuclein	glycosphingolipids	1
alpha-synuclein	GMP	1
alpha-synuclein	GO	1
alpha-synuclein	GPE	1
alpha-synuclein	GPL	1
alpha-synuclein	guanine	1
alpha-synuclein	H-89	1
alpha-synuclein	H-linolenic	1
alpha-synuclein	hemes	1
alpha-synuclein	hexadecyltrimethylammonium bromide	1
alpha-synuclein	hexosylceramide	1
alpha-synuclein	Hg	1
alpha-synuclein	His13	1
alpha-synuclein	His50	1
alpha-synuclein	homovanillic acid	1
alpha-synuclein	HVA	1
alpha-synuclein	hydrogen sulfide	1
alpha-synuclein	hydrogens	1
alpha-synuclein	hydroxyl radicals	1
alpha-synuclein	indatraline	1
alpha-synuclein	IP3	1
alpha-synuclein	KW6002	1
alpha-synuclein	L-dopa	1
alpha-synuclein	Lipid	1
alpha-synuclein	Lipids	1
alpha-synuclein	Lipopolysaccharide	1
alpha-synuclein	LTS	1
alpha-synuclein	lysines	1
alpha-synuclein	m-aminobenzenesulfonic acid	1
alpha-synuclein	magnetite	1
alpha-synuclein	manganese	1
alpha-synuclein	menadione	1
alpha-synuclein	METAL	1
alpha-synuclein	metal dichalcogenides	1
alpha-synuclein	Metformin	1
alpha-synuclein	methyl-4-phenyl-1,2,3,6-tetrahydropyridine	1
alpha-synuclein	Methylazoxymethanol	1
alpha-synuclein	MGBA	1
alpha-synuclein	midbrain organoids	1
alpha-synuclein	miR-101	1
alpha-synuclein	MLi-2	1
alpha-synuclein	Monoamine	1
alpha-synuclein	monoamines	1
alpha-synuclein	MPP	1
alpha-synuclein	MSA-C	1
alpha-synuclein	MSA-P	1
alpha-synuclein	MSAN	1
alpha-synuclein	MTEP	1
alpha-synuclein	N-(ethoxycarbonyl)-2-ethoxy-1,2-dihydroquinoline	1
alpha-synuclein	n-acetylneuraminic acid	1
alpha-synuclein	n-Acetylneuraminic Acid	1
alpha-synuclein	N-Methyl-D-Aspartate	1
alpha-synuclein	nAb	1
alpha-synuclein	NAC	1
alpha-synuclein	NAD+	1
alpha-synuclein	NADH	1
alpha-synuclein	NH4Cl	1
alpha-synuclein	nicotinamide	1
alpha-synuclein	nicotine	1
alpha-synuclein	o-quinone	1
alpha-synuclein	O2	1
alpha-synuclein	okadaic acid	1
alpha-synuclein	olaparib	1
alpha-synuclein	oleic acid	1
alpha-synuclein	palmitate	1
alpha-synuclein	Paraffin	1
alpha-synuclein	Paraquat	1
alpha-synuclein	Pb	1
alpha-synuclein	PB	1
alpha-synuclein	pentose phosphate	1
alpha-synuclein	peptide	1
alpha-synuclein	pergolide	1
alpha-synuclein	phenol	1
alpha-synuclein	phenylalanine	1
alpha-synuclein	phosphate	1
alpha-synuclein	phosphatidylinositol 3-phosphate	1
alpha-synuclein	phosphatidylinositol 3,4,5-trisphosphate	1
alpha-synuclein	phosphatidylinositol 4,5-bisphosphate	1
alpha-synuclein	phosphatidylinositol polyphosphate	1
alpha-synuclein	phosphatidylinositol polyphosphates	1
alpha-synuclein	phosphatidylserine	1
alpha-synuclein	Phosphoamino acid	1
alpha-synuclein	Phosphotidylserine	1
alpha-synuclein	PI3P	1
alpha-synuclein	PL	1
alpha-synuclein	PNU-282987	1
alpha-synuclein	poly(carboxybetaine-methacrylate)	1
alpha-synuclein	polyaniline	1
alpha-synuclein	Polyglutamine	1
alpha-synuclein	polymer acid	1
alpha-synuclein	polyphenolic compound	1
alpha-synuclein	polyphenols	1
alpha-synuclein	Polyphenols	1
alpha-synuclein	Polyunsaturated fatty acids	1
alpha-synuclein	Prasinezumab	1
alpha-synuclein	probenecid	1
alpha-synuclein	prolines	1
alpha-synuclein	PS	1
alpha-synuclein	pS-alpha-syn-	1
alpha-synuclein	psychosine	1
alpha-synuclein	pTau181	1
alpha-synuclein	PUFA	1
alpha-synuclein	PUFAs	1
alpha-synuclein	pyrene	1
alpha-synuclein	pyroglutamate	1
alpha-synuclein	quinoid	1
alpha-synuclein	quinoline	1
alpha-synuclein	RAC	1
alpha-synuclein	Rasagiline	1
alpha-synuclein	Reactive oxygen species	1
alpha-synuclein	retinoic acid	1
alpha-synuclein	Schiff base	1
alpha-synuclein	SCOPA	1
alpha-synuclein	Se	1
alpha-synuclein	Selegiline	1
alpha-synuclein	Selegine	1
alpha-synuclein	selenium	1
alpha-synuclein	Ser	1
alpha-synuclein	Ser131	1
alpha-synuclein	SK-MEL-2	1
alpha-synuclein	sodium dodecyl sulfate	1
alpha-synuclein	Sphingolipid	1
alpha-synuclein	Sphingolipids	1
alpha-synuclein	sphingomyelin	1
alpha-synuclein	steroid	1
alpha-synuclein	succinate	1
alpha-synuclein	sulfur	1
alpha-synuclein	TBS	1
alpha-synuclein	Tetrabutylphosphonium hydroxide	1
alpha-synuclein	TG	1
alpha-synuclein	thiazolium	1
alpha-synuclein	thioflavin	1
alpha-synuclein	thioflavin-T	1
alpha-synuclein	thioflavine	1
alpha-synuclein	thioflavine S	1
alpha-synuclein	threonine	1
alpha-synuclein	TMDs	1
alpha-synuclein	tocotrienol	1
alpha-synuclein	tolcapone	1
alpha-synuclein	Toluidine blue	1
alpha-synuclein	Tomatidine	1
alpha-synuclein	transition metal dichalcogenides	1
alpha-synuclein	trehalose	1
alpha-synuclein	Trehalose	1
alpha-synuclein	triacylglycerol	1
alpha-synuclein	triglyceride	1
alpha-synuclein	triterpenoid	1
alpha-synuclein	Triton-X	1
alpha-synuclein	TVP-1022	1
alpha-synuclein	ubiquinol	1
alpha-synuclein	Ubiquinone	1
alpha-synuclein	Vitamin D	1
alpha-synuclein	WA	1
alpha-synuclein	xenobiotica	1
LRRK2	123 I-ioflupane	1
LRRK2	2H	1
LRRK2	2H-indazole	1
LRRK2	3-mercaptopropionic acid	1
LRRK2	6-hydroxydopamine	1
LRRK2	acetylcholine	1
LRRK2	adalimumab	1
LRRK2	adenosine	1
LRRK2	ammonium	1
LRRK2	ASO	1
LRRK2	catecholamine	1
LRRK2	cholesterol	1
LRRK2	creatinine	1
LRRK2	DA	1
LRRK2	deuterium	1
LRRK2	dextran sodium sulfate	1
LRRK2	Dopamine	1
LRRK2	Flavonoid	1
LRRK2	Glu1948	1
LRRK2	glucosylceramide	1
LRRK2	Glutamate	1
LRRK2	GTP	1
LRRK2	indazoles	1
LRRK2	leucine	1
LRRK2	linc001128	1
LRRK2	linc0938	1
LRRK2	LPS	1
LRRK2	maneb	1
LRRK2	MG-132	1
LRRK2	miR-24-3p	1
LRRK2	miR-30c-5p	1
LRRK2	N-methyl-D-aspartate	1
LRRK2	oligonucleotide	1
LRRK2	paraquat	1
LRRK2	phosphate	1
LRRK2	phospholipids	1
LRRK2	Phosphosite	1
LRRK2	pT72	1
LRRK2	purine	1
LRRK2	puromycin	1
LRRK2	R130	1
LRRK2	RAB	1
LRRK2	serotonin	1
LRRK2	sphingolipids	1
LRRK2	tetramethylrhodamine methyl ester	1
LRRK2	TMRM	1
LRRK2	Uric Acid	1
LRRK2	V1615	1
LRRK2	vitamin D	1
SNCA	-syn PFF	1
SNCA	1-methyl-4-phenyl-1, 2, 3, 6-tetrahydropyridine	1
SNCA	1-Methyl-4-Phenyl-1,2,3,6-Tetrahydropyridine	1
SNCA	1-methyl-4-phenylpyridinium	1
SNCA	1-Methyl-4-phenylpyridinium	1
SNCA	1-methyl, 4-phenyl, 1,2,3,6 tetrahydropyridine	1
SNCA	3-(4,5-dimethyithiazol-2-yl)-2,5-diphenyl-tetrazolium bromide	1
SNCA	5uM NBP	1
SNCA	8-anilinonaphthalene-1-sulfonic acid	1
SNCA	AAV	1
SNCA	acetate	1
SNCA	acetyl-Asp-Glu-Val-Asp-aldehyde	1
SNCA	acetylcholine	1
SNCA	adalimumab	1
SNCA	ala	1
SNCA	alanine	1
SNCA	alpha-syn PFF	1
SNCA	ANS	1
SNCA	arachidonic acid	1
SNCA	ASOs	1
SNCA	aspartate	1
SNCA	Benzo	1
SNCA	benzo[a]pyrene	1
SNCA	berberine	1
SNCA	Bisquinoline	1
SNCA	Butyrate	1
SNCA	C16	1
SNCA	Ca-074-Me	1
SNCA	cambinol	1
SNCA	cAMP	1
SNCA	carbon	1
SNCA	ceramide C	1
SNCA	deferiprone	1
SNCA	dextran sodium sulfate	1
SNCA	Dl-3-n-butylphthalide	1
SNCA	Dl-3-n-Butylphthalide	1
SNCA	E-64D	1
SNCA	eosin	1
SNCA	exenatide	1
SNCA	exo-ASO4	1
SNCA	Fer	1
SNCA	ferrous iron	1
SNCA	fingolimod	1
SNCA	FRGO	1
SNCA	galactose	1
SNCA	Galactose	1
SNCA	GK	1
SNCA	glutamine	1
SNCA	glutathione	1
SNCA	glutathione peroxide	1
SNCA	graphene oxide	1
SNCA	Graphene Oxide	1
SNCA	GSH-Px	1
SNCA	Hematoxylin	1
SNCA	heparin	1
SNCA	indatraline	1
SNCA	leupeptin	1
SNCA	levodopa	1
SNCA	lipids	1
SNCA	LM10	1
SNCA	malondialdehyde	1
SNCA	MDA	1
SNCA	methanol	1
SNCA	Methanol	1
SNCA	methyl-4-phenyl-1,2,3,6-tetrahydropyridine	1
SNCA	MiRNA-148a	1
SNCA	Monoamine	1
SNCA	MPP +	1
SNCA	MPTP-probenecid	1
SNCA	MTEP	1
SNCA	MTT	1
SNCA	NaCl	1
SNCA	NaP	1
SNCA	NH4Cl	1
SNCA	nicotine	1
SNCA	Nissl	1
SNCA	norepinephrine	1
SNCA	NTRC 3531-0	1
SNCA	PNU-282987	1
SNCA	polyphenols	1
SNCA	PRGO	1
SNCA	probenecid	1
SNCA	propionate	1
SNCA	pSer129	1
SNCA	psychosine	1
SNCA	pyrene	1
SNCA	pyroglutamate	1
SNCA	quinoline	1
SNCA	Reactive oxygen species	1
SNCA	reserpine	1
SNCA	Rotenone	1
SNCA	SB203580	1
SNCA	ser129	1
SNCA	SN4741	1
SNCA	sodium acetate	1
SNCA	sodium propionate	1
SNCA	Suc-Leu-Leu-Val-Tyr-AMC	1
SNCA	Suc-LLVY-AMC	1
SNCA	sucrose	1
SNCA	superoxide	1
SNCA	Tau	1
SNCA	TH+	1
SNCA	thio-S	1
SNCA	thioflavin-S	1
SNCA	Thioflavin T	1
SNCA	thiol	1
SNCA	Thr	1
SNCA	triterpenoid	1
SNCA	urate	1
SNCA	water	1
FOG	AO	1
FOG	CL-DBS	1
FOG	CR	1
FOG	gyroscope	1
FOG	Holocue	1
FOG	IMU	1
FOG	LCIG	1
FOG	MELBA	1
FOG	NFoG	1
FOG	noFOG	1
FOG	SCOPA	1
FOG	SMBT	1
FOG	SPH	1
tau	123I-MIBG	1
tau	18F-DOPA	1
tau	18F-FDG	1
tau	3-[(propan- 2-yl)oxy]propan-1-amine	1
tau	6-hydroxydopamine	1
tau	adenosine	1
tau	B-Meson	1
tau	benzimidazole	1
tau	benzopyridine	1
tau	benzothiazole	1
tau	BG	1
tau	Cmin	1
tau	cyclopropyl amide	1
tau	dioxolo-benzoxazine	1
tau	dopa	1
tau	Dopamine	1
tau	eosin	1
tau	ethylene diamine tetraacetic acid	1
tau	FDG	1
tau	FTDP	1
tau	gangliosides	1
tau	glucose	1
tau	glycosaminoglycans	1
tau	guanine	1
tau	Hematoxylin	1
tau	hexanucleotide	1
tau	lactate	1
tau	lipid	1
tau	meta-iodobenzylguanidine	1
tau	metal	1
tau	methionine	1
tau	Methylazoxymethanol	1
tau	nocodazole	1
tau	oxadiazole	1
tau	PB	1
tau	peptide	1
tau	phenyl carbamothioate	1
tau	polyaniline	1
tau	polymer	1
tau	polymer acid	1
tau	pTau181	1
tau	pyrazine	1
tau	pyrazole	1
tau	SCOPA	1
tau	Ser	1
tau	serine	1
tau	serines	1
tau	Sodium selenate	1
tau	threonine	1
tau	Tilavonemab	1
tau	Toluidine blue	1
tau	Triton-X	1
dopamine transporter	)F]-	1
dopamine transporter	)tropane	1
dopamine transporter	[C-11]-PE2I	1
dopamine transporter	[I-123] IPT	1
dopamine transporter	[I-123]N-(3-iodopropen-2-yl)-2beta-carbomethoxy-3beta-(4-chl orophenyl) tropane	1
dopamine transporter	] beta-CIT	1
dopamine transporter	] N-(3-fluoropropyl)-2beta-carbonethoxy-3beta-(4-iodophenyl) nortropane	1
dopamine transporter	]FDOPA	1
dopamine transporter	1-methyl-4-phenyl-1,2,3, 6-tetrahydropyridine	1
dopamine transporter	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	1
dopamine transporter	1-methyl-4-phenylpyridinium	1
dopamine transporter	11C-methyl-N-2beta-carbomethoxy-3beta-(4-fluorophenyl)-tropanel	1
dopamine transporter	123 I-ioflupane	1
dopamine transporter	123I-Ioflupane	1
dopamine transporter	123I-metaiodobenzylguanidine	1
dopamine transporter	123I-MIBG	1
dopamine transporter	123ioflupane	1
dopamine transporter	2-beta-carbomethoxy-3beta-(4-[11C]fluorophenyl)tropane	1
dopamine transporter	2-beta-carbomethoxy-3beta-(4-fluorophenyl) tropane	1
dopamine transporter	2 beta-carboxymethoxy-3 beta-(4-iodophenyl)tropane	1
dopamine transporter	2 beta-carboxymethoxy-3 beta-(4[123I]iodophenyl)tropane	1
dopamine transporter	2beta-carbomethoxy-3beta-(4-[(	1
dopamine transporter	2beta-carbomethoxy-3beta-(4-[18F]fluorophenyl)tropane	1
dopamine transporter	2Beta-carbomethoxy-3beta-(4-fluorophenyl)-n-(1-iodoprop-1-en -3-yl) nortropane	1
dopamine transporter	2beta-carbomethoxy-3beta-[4-iodophenyl]tropane	1
dopamine transporter	2beta-carboxymethoxy-3beta-[4-iodophenyl] tropane	1
dopamine transporter	6-[18F]fluoro-L-m-tyrosine	1
dopamine transporter	99mTc-TRODAT-1	1
dopamine transporter	ADV	1
dopamine transporter	alpha-methyl-paratyrosine	1
dopamine transporter	amino-cupric-silver	1
dopamine transporter	amphetamine	1
dopamine transporter	AMPT	1
dopamine transporter	apomorphine	1
dopamine transporter	beta-CFT	1
dopamine transporter	beta-CIT ((1R)-2beta-Carbomethoxy-3beta-(4-iodophenyl)tropane	1
dopamine transporter	carbidopa	1
dopamine transporter	carbidopa/levodopa	1
dopamine transporter	carbohydrate	1
dopamine transporter	carbon	1
dopamine transporter	chloroquine	1
dopamine transporter	choline	1
dopamine transporter	CO	1
dopamine transporter	creatine	1
dopamine transporter	Cys	1
dopamine transporter	cysteinyl-3,4-dihydroxyphenylacetic acid	1
dopamine transporter	cysteinyl-dopamine	1
dopamine transporter	dNDD	1
dopamine transporter	dopa	1
dopamine transporter	epidepride	1
dopamine transporter	ethyl cysteinate	1
dopamine transporter	F]FDOPA	1
dopamine transporter	F]fluoro-L-dopa	1
dopamine transporter	fluoropropyl-carbomethoxylodopropyl-nor-ss-tropane	1
dopamine transporter	FMT	1
dopamine transporter	Glutathione	1
dopamine transporter	GSEA	1
dopamine transporter	GSH	1
dopamine transporter	H2O	1
dopamine transporter	I-FP-CIT	1
dopamine transporter	IBZM	1
dopamine transporter	ioflupane	1
dopamine transporter	Ioflupane iodine-123	1
dopamine transporter	leucine	1
dopamine transporter	levodopa-carbidopa intestinal gel	1
dopamine transporter	metaiodobenzylguanidine	1
dopamine transporter	metal	1
dopamine transporter	MPP+	1
dopamine transporter	N-(3-iodoprop-2E-enyl)-2b-carbomethoxy-3b-(4-methyl-phenyl)nortropane)	1
dopamine transporter	N-3-fluoropropyl-2-beta-carbomethoxy-3-beta-(4-iodophe nyl)nortropane	1
dopamine transporter	N-Methyl-D-Aspartate	1
dopamine transporter	N-omega-fluoropropyl-2 beta-carbomethoxy-3 beta-(4-iodophenyl)nortropane	1
dopamine transporter	NDDs	1
dopamine transporter	Neuromelanin	1
dopamine transporter	nitrite	1
dopamine transporter	NM-SN	1
dopamine transporter	noradrenaline	1
dopamine transporter	oxygen species	1
dopamine transporter	pertechnetate	1
dopamine transporter	phosphate	1
dopamine transporter	Prasinezumab	1
dopamine transporter	pRBD	1
dopamine transporter	quinones	1
dopamine transporter	Resveratrol	1
dopamine transporter	SCOPA	1
dopamine transporter	serotonin	1
dopamine transporter	Sialic acid	1
dopamine transporter	Tc-99m	1
dopamine transporter	Tc-99m ethyl cysteinate	1
dopamine transporter	TRODAT	1
dopamine transporter	TT	1
dopamine transporter	urate	1
dopamine transporter	Uric Acid	1
dopamine transporter	valproic acid	1
PINK1	1-methyl-4-phenyl-1,2,3,6- tetrahydropyran	1
PINK1	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	1
PINK1	1-methyl-4-phenylpyridinium	1
PINK1	6-hydroxydopamine	1
PINK1	adenosine	1
PINK1	ammonium	1
PINK1	ATP	1
PINK1	benzosulphonamide	1
PINK1	cardiolipin	1
PINK1	catechin	1
PINK1	ceramide	1
PINK1	ceramides	1
PINK1	deuterium	1
PINK1	disulfide	1
PINK1	ECG	1
PINK1	Epicatechin gallate	1
PINK1	Epicatechin Gallate	1
PINK1	Flavonoid	1
PINK1	glucose	1
PINK1	Glutamate	1
PINK1	hydrogen	1
PINK1	Ile111	1
PINK1	L-dopa	1
PINK1	Levodopa	1
PINK1	lipids	1
PINK1	lysine	1
PINK1	menaquinone	1
PINK1	N-methyl-D-aspartate	1
PINK1	NAD+	1
PINK1	neutral red	1
PINK1	Nitric Oxide	1
PINK1	phosphoubiquitin	1
PINK1	reactive oxidative species	1
PINK1	reactive oxygen species	1
PINK1	ROS	1
PINK1	Ser205	1
PINK1	Serine65	1
PINK1	sphingolipids	1
PINK1	Staurosporine	1
PINK1	sulfur	1
PINK1	TCA	1
PINK1	vitamin B6	1
PINK1	Vitamin B6	1
PINK1	vitamin K2	1
PINK1	Vitamin K2	1
GBA	#NAME?	1
GBA	4-methylumbelliferyl beta-D-glucopyranoside	1
GBA	adenosine	1
GBA	amantadine	1
GBA	Ambroxol hydrochloride	1
GBA	ASO	1
GBA	calcium	1
GBA	carbidopa	1
GBA	catecholamine	1
GBA	cholesterol	1
GBA	creatinine	1
GBA	dopa	1
GBA	F-dopa	1
GBA	GL-1	1
GBA	GlcSph	1
GBA	GluCer	1
GBA	GluSph	1
GBA	glycosphingolipid	1
GBA	glycosphingolipids	1
GBA	GTP	1
GBA	hexosylceramide	1
GBA	hexosylsphingosine	1
GBA	LTI	1
GBA	NAD	1
GBA	oligonucleotide	1
GBA	phospholipids	1
GBA	purine	1
GBA	serotonin	1
GBA	Sphingolipid	1
GBA	Sphingolipids	1
GBA	sphingomyelin	1
GBA	vitamin D	1
DJ1	1,3-bisphosphoglycerate	1
DJ1	1,3-BPG	1
DJ1	11-amino-1-undecanethiol	1
DJ1	11-AUT	1
DJ1	6-hydroxydopamine	1
DJ1	aluminum	1
DJ1	amantadine	1
DJ1	AuNP	1
DJ1	Butylphthalide	1
DJ1	caffeine	1
DJ1	calcium	1
DJ1	carbohydrates	1
DJ1	carbon nanotube	1
DJ1	CDN1163	1
DJ1	cysteine	1
DJ1	Dopamine	1
DJ1	Flavonoid	1
DJ1	glucose	1
DJ1	glycerate	1
DJ1	indium tin oxide	1
DJ1	iron	1
DJ1	Iron	1
DJ1	L-dopa	1
DJ1	Leu10	1
DJ1	Levodopa	1
DJ1	MPTP	1
DJ1	Nitric Oxide	1
DJ1	phosphoglycerate	1
DJ1	polyethylene	1
DJ1	propeptide	1
DJ1	ROS	1
DJ1	terephthalate	1
DJ1	WA	1
STN	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	1
STN	Cz	1
STN	l-DOPA	1
STN	levodopa	1
STN	muscimol	1
STN	RI	1
STN	trihexyphenidyl	1
MAO-B	#NAME?	1
MAO-B	(-)-deprenyl	1
MAO-B	[11C]TMSX	1
MAO-B	[7-methyl-11C]-(E)-8-(3,4,5-trimethoxystyryl)-1,3,7-trimethylxanthine	1
MAO-B	1-methyl-4-phenyl-1, 2, 3, 6-tetrahydropyridine	1
MAO-B	1,1-diphenyl-2-picryl-hydrazyl radical	1
MAO-B	1,3,4-oxadiazole	1
MAO-B	1,3,4-oxadiazoles	1
MAO-B	11C	1
MAO-B	"2-hydroxychalcones	Chemical	MESH:C013031
34653442	1399	1413	benzodiazepine	Chemical	MESH:D001569
34653442	1443	1468	gamma-aminobutyric acid A	Chemical	-
34653442	1470	1475	GABAA	Chemical	-
34653442	1659	1678	2-hydroxychalcones"	1
MAO-B	"2-hydroxychalcones	Chemical	MESH:C013031
34653442	581	590	Chalcones	Chemical	MESH:D047188
34653442	609	619	flavonoids	Chemical	MESH:D005419
34653442	698	717	2-hydroxychalcones"	1
MAO-B	2,5-disubstituted	1
MAO-B	3-Hydroxytyrosol	1
MAO-B	4bf	1
MAO-B	6-OH-dopamine	1
MAO-B	adenosine	1
MAO-B	AF64A	1
MAO-B	agarose	1
MAO-B	aldehyde	1
MAO-B	amantadine hydrochloride	1
MAO-B	amine	1
MAO-B	amines	1
MAO-B	arylalkylamines	1
MAO-B	benomyl	1
MAO-B	benzoquinone	1
MAO-B	benzoxazinone	1
MAO-B	beta-carbolines	1
MAO-B	brefeldin A	1
MAO-B	Bromocriptine	1
MAO-B	chalcone	1
MAO-B	chalcones	1
MAO-B	chromen	1
MAO-B	clorgiline	1
MAO-B	clorgyline	1
MAO-B	Cu	1
MAO-B	Deprenyl	1
MAO-B	DEX	1
MAO-B	dexamethasone	1
MAO-B	dinucleotide	1
MAO-B	DOPAC	1
MAO-B	DPPH	1
MAO-B	ergot alkaloid	1
MAO-B	FDG	1
MAO-B	Fe	1
MAO-B	flavone	1
MAO-B	flavonoid	1
MAO-B	Glu206	1
MAO-B	glucose	1
MAO-B	glutathione	1
MAO-B	glyburide	1
MAO-B	Glycoside	1
MAO-B	haloperidol	1
MAO-B	hMAO-B	1
MAO-B	HVA	1
MAO-B	HXT	1
MAO-B	Hydroxytyrosol	1
MAO-B	indane	1
MAO-B	iproniazid	1
MAO-B	IR3G	1
MAO-B	isocarboxazid	1
MAO-B	isorhamnetin	1
MAO-B	isorhamnetin-3-O-beta-D-glucoside	1
MAO-B	istradefylline	1
MAO-B	karbidopa	1
MAO-B	L-Dopa	1
MAO-B	Lazabemide	1
MAO-B	lazaroids	1
MAO-B	Leu171	1
MAO-B	lipid	1
MAO-B	lipid peroxides	1
MAO-B	lipopolysaccharide	1
MAO-B	MDA	1
MAO-B	methylamphetamine	1
MAO-B	metoclopramide	1
MAO-B	milacemide	1
MAO-B	Milacemide	1
MAO-B	N-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	1
MAO-B	Naringenin	1
MAO-B	nialamide	1
MAO-B	nitric oxide	1
MAO-B	noradrenaline	1
MAO-B	O2)species	1
MAO-B	paraquat	1
MAO-B	phenelzine	1
MAO-B	phenobarbital	1
MAO-B	polyphenol	1
MAO-B	pramipexole	1
MAO-B	Prasinezumab	1
MAO-B	probenecid	1
MAO-B	reactive oxygen (	1
MAO-B	Ro19-6327	1
MAO-B	rotigotine	1
MAO-B	Selegiline hydrochloride	1
MAO-B	Ser129	1
MAO-B	SKF-525A	1
MAO-B	sodium	1
MAO-B	Talipexole	1
MAO-B	tranylcypromine	1
MAO-B	trihexyphenidyl	1
MAO-B	tryptamine	1
MAO-B	TVP-1022	1
MAO-B	Tyr326	1
MAO-B	tyramine	1
MAO-B	Zn	1
COMT	#NAME?	1
COMT	2-[(2,4-dichlorophenyl)methyl]-7-hydroxy-1,2,3,4-tetrahydro-8H-pyrido[1,2-a]pyrazin-8-one	1
COMT	2-[(2,4-Dichlorophenyl)methyl]-7-hydroxy-1,2,3,4-tetrahydro-8H-pyrido[1,2-a]pyrazin-8-one	1
COMT	6-hydroxydopamine	1
COMT	adenosine	1
COMT	Amantadine	1
COMT	amantadine hydrochloride	1
COMT	benserazide	1
COMT	beta-carbolines	1
COMT	Bicyclic Hydroxypyridone	1
COMT	bicyclic hydroxypyridones	1
COMT	Comtan	1
COMT	DDC	1
COMT	ENT	1
COMT	F	1
COMT	glutathione	1
COMT	GSH	1
COMT	haloperidol	1
COMT	istradefylline	1
COMT	karbidopa	1
COMT	lazaroids	1
COMT	Levodopa-entacapone-carbidopa intestinal gel	1
COMT	levodopa/carbidopa	1
COMT	lipid	1
COMT	metoclopramide	1
COMT	N-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	1
COMT	O2)species	1
COMT	OR-611	1
COMT	PDQ-39	1
COMT	propranolol	1
COMT	reactive oxygen (	1
COMT	ropinorole	1
COMT	rotigotine	1
COMT	short chain fatty acids	1
COMT	Valsalva	1
COMT	withacnistin	1
COMT	withaferin A	1
COMT	withaphysalin C	1
COMT	withaphysalin D	1
COMT	withaphysalin F	1
COMT	withaphysalin N	1
COMT	withaphysalin O	1
COMT	withasomnine	1
PRKN	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	1
PRKN	9-hydroxystearate	1
PRKN	adenosine	1
PRKN	ammonium	1
PRKN	benzosulphonamide	1
PRKN	carbonyl cyanide 3-chlorophenylhydrazone	1
PRKN	Cys253	1
PRKN	dimethyl sulfoxide	1
PRKN	DMSO	1
PRKN	Dopamine	1
PRKN	G4s	1
PRKN	glucose	1
PRKN	hydrogen peroxide	1
PRKN	lipids	1
PRKN	metaiodobenzylguanidine	1
PRKN	MG-132	1
PRKN	NAD	1
PRKN	parkin cysteines	1
PRKN	phosphoubiquitin	1
PRKN	Ser65	1
PRKN	tetramethylrhodamine methyl ester	1
PRKN	thiol	1
PRKN	TMRM	1
PRKN	V1615	1
LRRK2	1-methyl-4-phenyl-1,2,5,6-tetrahydropyridine	1
LRRK2	adalimumab	1
LRRK2	adenosine	1
LRRK2	dextran sodium sulfate	1
LRRK2	glutamate	1
LRRK2	GNE-7915	1
LRRK2	GSK3357679A	1
LRRK2	Leucine	1
LRRK2	LPS	1
LRRK2	pyrrolopyrimidine	1
LRRK2	reactive oxygen species	1
